ordernumber;productcode;quantityordered;priceeach;orderlinenumber;orderdate;shippeddate;status;customernumber;country
10114;S10_4962       ;31;128.5;8;2020/04/01 00:00:00.000;2020/04/02 00:00:00.000;Shipped        ;172;France                                            
10114;S18_2319       ;39;106.8;3;2020/04/01 00:00:00.000;2020/04/02 00:00:00.000;Shipped        ;172;France                                            
10114;S18_2432       ;45;53.5;6;2020/04/01 00:00:00.000;2020/04/02 00:00:00.000;Shipped        ;172;France                                            
10114;S18_3232       ;48;169.3;4;2020/04/01 00:00:00.000;2020/04/02 00:00:00.000;Shipped        ;172;France                                            
10114;S18_4600       ;41;105.3;9;2020/04/01 00:00:00.000;2020/04/02 00:00:00.000;Shipped        ;172;France                                            
10114;S24_2300       ;21;102.2;5;2020/04/01 00:00:00.000;2020/04/02 00:00:00.000;Shipped        ;172;France                                            
10114;S24_2840       ;24;28.6;1;2020/04/01 00:00:00.000;2020/04/02 00:00:00.000;Shipped        ;172;France                                            
10114;S32_1268       ;32;88.6;7;2020/04/01 00:00:00.000;2020/04/02 00:00:00.000;Shipped        ;172;France                                            
10114;S32_2509       ;28;43.8;2;2020/04/01 00:00:00.000;2020/04/02 00:00:00.000;Shipped        ;172;France                                            
10114;S700_2824      ;42;82.9;10;2020/04/01 00:00:00.000;2020/04/02 00:00:00.000;Shipped        ;172;France                                            
10121;S10_1678       ;34;86.1;5;2020/05/07 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;353;France                                            
10121;S12_2823       ;50;126.5;4;2020/05/07 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;353;France                                            
10121;S24_2360       ;32;58.2;2;2020/05/07 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;353;France                                            
10121;S32_4485       ;25;95.9;3;2020/05/07 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;353;France                                            
10121;S50_4713       ;44;72.4;1;2020/05/07 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;353;France                                            
10122;S12_1099       ;42;155.7;10;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S12_3380       ;37;113.9;8;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S12_3990       ;32;65.4;11;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S12_4675       ;20;104.8;7;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S18_1129       ;34;114.6;2;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S18_1889       ;43;62.4;6;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S18_1984       ;31;113.8;1;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S18_3232       ;25;137.2;3;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S18_3278       ;21;69.2;13;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S18_3482       ;21;133.8;12;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S18_3782       ;35;59.1;16;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S18_4721       ;28;145.8;15;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S24_2972       ;39;34.7;4;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S24_3371       ;34;50.8;9;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S24_3856       ;43;136.2;5;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S24_4620       ;29;67.1;14;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10122;S32_2206       ;31;33.8;17;2020/05/08 00:00:00.000;2020/05/13 00:00:00.000;Shipped        ;350;France                                            
10123;S18_1589       ;26;120.7;2;2020/05/20 00:00:00.000;2020/05/22 00:00:00.000;Shipped        ;103;France                                            
10123;S18_2870       ;46;114.8;3;2020/05/20 00:00:00.000;2020/05/22 00:00:00.000;Shipped        ;103;France                                            
10123;S18_3685       ;34;117.3;4;2020/05/20 00:00:00.000;2020/05/22 00:00:00.000;Shipped        ;103;France                                            
10123;S24_1628       ;50;43.3;1;2020/05/20 00:00:00.000;2020/05/22 00:00:00.000;Shipped        ;103;France                                            
10134;S10_1678       ;41;90.9;2;2020/07/01 00:00:00.000;2020/07/05 00:00:00.000;Shipped        ;250;France                                            
10134;S10_2016       ;27;116.6;5;2020/07/01 00:00:00.000;2020/07/05 00:00:00.000;Shipped        ;250;France                                            
10134;S10_4698       ;31;187.8;4;2020/07/01 00:00:00.000;2020/07/05 00:00:00.000;Shipped        ;250;France                                            
10134;S12_2823       ;20;131;1;2020/07/01 00:00:00.000;2020/07/05 00:00:00.000;Shipped        ;250;France                                            
10134;S18_2625       ;30;51.5;6;2020/07/01 00:00:00.000;2020/07/05 00:00:00.000;Shipped        ;250;France                                            
10134;S24_1578       ;35;94.7;3;2020/07/01 00:00:00.000;2020/07/05 00:00:00.000;Shipped        ;250;France                                            
10134;S24_2020       ;43;75.4;7;2020/07/01 00:00:00.000;2020/07/05 00:00:00.000;Shipped        ;250;France                                            
10136;S18_1129       ;25;117.5;2;2020/07/04 00:00:00.000;2020/07/06 00:00:00.000;Shipped        ;242;France                                            
10136;S18_1984       ;36;120.9;1;2020/07/04 00:00:00.000;2020/07/06 00:00:00.000;Shipped        ;242;France                                            
10136;S18_3232       ;41;169.3;3;2020/07/04 00:00:00.000;2020/07/06 00:00:00.000;Shipped        ;242;France                                            
