ordernumber;productcode;quantityordered;priceeach;orderlinenumber;orderdate;shippeddate;status;customernumber;country
10100;S18_1749       ;30;136;3;2020/01/06 00:00:00.000;2020/01/10 00:00:00.000;Shipped        ;363;USA                                               
10100;S18_2248       ;50;55.1;2;2020/01/06 00:00:00.000;2020/01/10 00:00:00.000;Shipped        ;363;USA                                               
10100;S18_4409       ;22;75.5;4;2020/01/06 00:00:00.000;2020/01/10 00:00:00.000;Shipped        ;363;USA                                               
10100;S24_3969       ;49;35.3;1;2020/01/06 00:00:00.000;2020/01/10 00:00:00.000;Shipped        ;363;USA                                               
10102;S18_1342       ;39;95.6;2;2020/01/10 00:00:00.000;2020/01/14 00:00:00.000;Shipped        ;181;USA                                               
10102;S18_1367       ;41;43.1;1;2020/01/10 00:00:00.000;2020/01/14 00:00:00.000;Shipped        ;181;USA                                               
10107;S10_1678       ;30;81.4;2;2020/02/24 00:00:00.000;2020/02/26 00:00:00.000;Shipped        ;131;USA                                               
10107;S10_2016       ;39;105.9;5;2020/02/24 00:00:00.000;2020/02/26 00:00:00.000;Shipped        ;131;USA                                               
10107;S10_4698       ;27;172.4;4;2020/02/24 00:00:00.000;2020/02/26 00:00:00.000;Shipped        ;131;USA                                               
10107;S12_2823       ;21;122;1;2020/02/24 00:00:00.000;2020/02/26 00:00:00.000;Shipped        ;131;USA                                               
10107;S18_2625       ;29;52.7;6;2020/02/24 00:00:00.000;2020/02/26 00:00:00.000;Shipped        ;131;USA                                               
10107;S24_1578       ;25;96.9;3;2020/02/24 00:00:00.000;2020/02/26 00:00:00.000;Shipped        ;131;USA                                               
10107;S24_2020       ;38;73.1;7;2020/02/24 00:00:00.000;2020/02/26 00:00:00.000;Shipped        ;131;USA                                               
10107;S32_1374       ;20;88.9;8;2020/02/24 00:00:00.000;2020/02/26 00:00:00.000;Shipped        ;131;USA                                               
10109;S18_1129       ;26;117.5;4;2020/03/10 00:00:00.000;2020/03/11 00:00:00.000;Shipped        ;486;USA                                               
10109;S18_1984       ;38;138;3;2020/03/10 00:00:00.000;2020/03/11 00:00:00.000;Shipped        ;486;USA                                               
10109;S18_2870       ;26;126.7;1;2020/03/10 00:00:00.000;2020/03/11 00:00:00.000;Shipped        ;486;USA                                               
10109;S18_3232       ;46;160.9;5;2020/03/10 00:00:00.000;2020/03/11 00:00:00.000;Shipped        ;486;USA                                               
10109;S18_3685       ;47;125.7;2;2020/03/10 00:00:00.000;2020/03/11 00:00:00.000;Shipped        ;486;USA                                               
10109;S24_2972       ;29;32.1;6;2020/03/10 00:00:00.000;2020/03/11 00:00:00.000;Shipped        ;486;USA                                               
10111;S18_1342       ;33;87.3;6;2020/03/25 00:00:00.000;2020/03/30 00:00:00.000;Shipped        ;129;USA                                               
10111;S18_1367       ;48;48.5;5;2020/03/25 00:00:00.000;2020/03/30 00:00:00.000;Shipped        ;129;USA                                               
10111;S18_2957       ;28;53.1;2;2020/03/25 00:00:00.000;2020/03/30 00:00:00.000;Shipped        ;129;USA                                               
10111;S18_3136       ;43;94.2;1;2020/03/25 00:00:00.000;2020/03/30 00:00:00.000;Shipped        ;129;USA                                               
10111;S18_3320       ;39;91.3;4;2020/03/25 00:00:00.000;2020/03/30 00:00:00.000;Shipped        ;129;USA                                               
10111;S24_4258       ;26;85.7;3;2020/03/25 00:00:00.000;2020/03/30 00:00:00.000;Shipped        ;129;USA                                               
10113;S12_1666       ;21;121.6;2;2020/03/26 00:00:00.000;2020/03/27 00:00:00.000;Shipped        ;124;USA                                               
10113;S18_1097       ;49;101.5;4;2020/03/26 00:00:00.000;2020/03/27 00:00:00.000;Shipped        ;124;USA                                               
10113;S18_4668       ;50;43.3;3;2020/03/26 00:00:00.000;2020/03/27 00:00:00.000;Shipped        ;124;USA                                               
10113;S32_3522       ;23;58.8;1;2020/03/26 00:00:00.000;2020/03/27 00:00:00.000;Shipped        ;124;USA                                               
10115;S12_4473       ;46;111.4;5;2020/04/04 00:00:00.000;2020/04/07 00:00:00.000;Shipped        ;424;USA                                               
